source,target,left,right,index
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'exit', 'r': 50.95996414826417, 'y': 801.6191602732167, 'x': 1806.0558275526005, 'index': 10, 'vy': -0.17370137255096676, 'vx': -0.2985637027987639, 'weight': 19}",False,True,35
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'continue', 'r': 24.952623149688797, 'y': 929.0258441430276, 'x': 1660.1933988258377, 'index': 16, 'vy': -0.16613423800400193, 'vx': -0.30449886241228125, 'weight': 10}",False,True,36
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'continue', 'r': 24.952623149688797, 'y': 929.0258441430276, 'x': 1660.1933988258377, 'index': 16, 'vy': -0.16613423800400193, 'vx': -0.30449886241228125, 'weight': 10}",False,True,37
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'found', 'r': 11.062866266041592, 'y': 708.9390813024352, 'x': 1600.4381929819301, 'index': 17, 'vy': -0.16719531476324467, 'vx': -0.28821536994552166, 'weight': 4}",False,True,38
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'continue', 'r': 24.952623149688797, 'y': 929.0258441430276, 'x': 1660.1933988258377, 'index': 16, 'vy': -0.16613423800400193, 'vx': -0.30449886241228125, 'weight': 10}",False,True,39
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'checking_loop', 'r': 15.270619156458231, 'y': 853.7276760826862, 'x': 1707.088967592394, 'index': 15, 'vy': -0.16355363482296492, 'vx': -0.30076361491267506, 'weight': 6}",False,True,40
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'found', 'r': 11.062866266041592, 'y': 708.9390813024352, 'x': 1600.4381929819301, 'index': 17, 'vy': -0.16719531476324467, 'vx': -0.28821536994552166, 'weight': 4}",False,True,41
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'pois_beep', 'r': 7.462288826689832, 'y': 1090.2879879245752, 'x': 1366.0133070400893, 'index': 23, 'vy': -0.16593479376456036, 'vx': -0.29556973219396765, 'weight': 2}",False,True,42
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'shorten', 'r': 9.171167510947729, 'y': 1073.4997673153039, 'x': 1556.9624109242948, 'index': 24, 'vy': -0.16635372758048275, 'vx': -0.2984223096599205, 'weight': 3}",False,True,43
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'update_tail', 'r': 7.462288826689832, 'y': 732.4053503140835, 'x': 1438.8544242210114, 'index': 25, 'vy': -0.17139922942127758, 'vx': -0.2974942313919913, 'weight': 2}",False,True,44
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'empty_tail', 'r': 9.171167510947729, 'y': 738.9437323554196, 'x': 1682.8855287142267, 'index': 26, 'vy': -0.16608435184141568, 'vx': -0.29721357663296555, 'weight': 3}",False,True,45
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'exit', 'r': 50.95996414826417, 'y': 801.6191602732167, 'x': 1806.0558275526005, 'index': 10, 'vy': -0.17370137255096676, 'vx': -0.2985637027987639, 'weight': 19}",False,True,46
"{'name': 'food_beep', 'r': 7.462288826689832, 'y': 925.5548880961999, 'x': 1366.9231707219753, 'index': 18, 'vy': -0.16423059532845577, 'vx': -0.29771514077596745, 'weight': 2}","{'name': 'beep', 'r': 22.398638404385867, 'y': 1082.1411813321506, 'x': 1223.4337927088554, 'index': 27, 'vy': -0.16275211918761795, 'vx': -0.2932541164874755, 'weight': 9}",False,True,47
"{'name': 'pois_beep', 'r': 7.462288826689832, 'y': 1090.2879879245752, 'x': 1366.0133070400893, 'index': 23, 'vy': -0.16593479376456036, 'vx': -0.29556973219396765, 'weight': 2}","{'name': 'long_beep', 'r': 19.928527864588922, 'y': 1302.4603690271206, 'x': 1206.3178827089594, 'index': 28, 'vy': -0.161853817123281, 'vx': -0.2911002856934047, 'weight': 8}",False,True,48
"{'name': 'key_beep', 'r': 7.462288826689832, 'y': 1226.8638712648747, 'x': 1511.035525549308, 'index': 29, 'vy': -0.16447687026175303, 'vx': -0.29266752404203117, 'weight': 2}","{'name': 'beep', 'r': 22.398638404385867, 'y': 1082.1411813321506, 'x': 1223.4337927088554, 'index': 27, 'vy': -0.16275211918761795, 'vx': -0.2932541164874755, 'weight': 9}",False,True,49
"{'name': 'step_beep', 'r': 7.462288826689832, 'y': 876.9484736163857, 'x': 1313.0601889051466, 'index': 30, 'vy': -0.16770718777474455, 'vx': -0.2943459103770877, 'weight': 2}","{'name': 'beep', 'r': 22.398638404385867, 'y': 1082.1411813321506, 'x': 1223.4337927088554, 'index': 27, 'vy': -0.16275211918761795, 'vx': -0.2932541164874755, 'weight': 9}",False,True,50
"{'name': 'pause_beep', 'r': 13.103282983463814, 'y': 1136.3082944346806, 'x': 1296.6567847405486, 'index': 31, 'vy': -0.1617178366792028, 'vx': -0.2929222926731332, 'weight': 5}","{'name': 'beep', 'r': 22.398638404385867, 'y': 1082.1411813321506, 'x': 1223.4337927088554, 'index': 27, 'vy': -0.16275211918761795, 'vx': -0.2932541164874755, 'weight': 9}",False,True,51
"{'name': 'pause_beep', 'r': 13.103282983463814, 'y': 1136.3082944346806, 'x': 1296.6567847405486, 'index': 31, 'vy': -0.1617178366792028, 'vx': -0.2929222926731332, 'weight': 5}","{'name': 'beep', 'r': 22.398638404385867, 'y': 1082.1411813321506, 'x': 1223.4337927088554, 'index': 27, 'vy': -0.16275211918761795, 'vx': -0.2932541164874755, 'weight': 9}",False,True,52
"{'name': 'pause_beep', 'r': 13.103282983463814, 'y': 1136.3082944346806, 'x': 1296.6567847405486, 'index': 31, 'vy': -0.1617178366792028, 'vx': -0.2929222926731332, 'weight': 5}","{'name': 'long_beep', 'r': 19.928527864588922, 'y': 1302.4603690271206, 'x': 1206.3178827089594, 'index': 28, 'vy': -0.161853817123281, 'vx': -0.2911002856934047, 'weight': 8}",False,True,53
"{'name': 'pause_beep', 'r': 13.103282983463814, 'y': 1136.3082944346806, 'x': 1296.6567847405486, 'index': 31, 'vy': -0.1617178366792028, 'vx': -0.2929222926731332, 'weight': 5}","{'name': 'beep', 'r': 22.398638404385867, 'y': 1082.1411813321506, 'x': 1223.4337927088554, 'index': 27, 'vy': -0.16275211918761795, 'vx': -0.2932541164874755, 'weight': 9}",False,True,54
"{'name': 'game_over_beep', 'r': 11.062866266041592, 'y': 1381.6043172034085, 'x': 1274.5279604353696, 'index': 32, 'vy': -0.16251388106504616, 'vx': -0.29113205006040455, 'weight': 4}","{'name': 'long_beep', 'r': 19.928527864588922, 'y': 1302.4603690271206, 'x': 1206.3178827089594, 'index': 28, 'vy': -0.161853817123281, 'vx': -0.2911002856934047, 'weight': 8}",False,True,55
"{'name': 'game_over_beep', 'r': 11.062866266041592, 'y': 1381.6043172034085, 'x': 1274.5279604353696, 'index': 32, 'vy': -0.16251388106504616, 'vx': -0.29113205006040455, 'weight': 4}","{'name': 'long_beep', 'r': 19.928527864588922, 'y': 1302.4603690271206, 'x': 1206.3178827089594, 'index': 28, 'vy': -0.161853817123281, 'vx': -0.2911002856934047, 'weight': 8}",False,True,56
"{'name': 'game_over_beep', 'r': 11.062866266041592, 'y': 1381.6043172034085, 'x': 1274.5279604353696, 'index': 32, 'vy': -0.16251388106504616, 'vx': -0.29113205006040455, 'weight': 4}","{'name': 'long_beep', 'r': 19.928527864588922, 'y': 1302.4603690271206, 'x': 1206.3178827089594, 'index': 28, 'vy': -0.161853817123281, 'vx': -0.2911002856934047, 'weight': 8}",False,True,57
"{'name': 'beep', 'r': 22.398638404385867, 'y': 1082.1411813321506, 'x': 1223.4337927088554, 'index': 27, 'vy': -0.16275211918761795, 'vx': -0.2932541164874755, 'weight': 9}","{'name': 'turn_on', 'r': 7.462288826689832, 'y': 1217.3304870777451, 'x': 1203.1561379858906, 'index': 33, 'vy': -0.16154856076978466, 'vx': -0.2926116846795381, 'weight': 2}",False,True,58
"{'name': 'beep', 'r': 22.398638404385867, 'y': 1082.1411813321506, 'x': 1223.4337927088554, 'index': 27, 'vy': -0.16275211918761795, 'vx': -0.2932541164874755, 'weight': 9}","{'name': 'set_freq', 'r': 15.270619156458231, 'y': 1192.968064999888, 'x': 1044.5464201765492, 'index': 34, 'vy': -0.15977802862023066, 'vx': -0.29194788662189564, 'weight': 6}",False,True,59
"{'name': 'beep', 'r': 22.398638404385867, 'y': 1082.1411813321506, 'x': 1223.4337927088554, 'index': 27, 'vy': -0.16275211918761795, 'vx': -0.2932541164874755, 'weight': 9}","{'name': 'turn_off', 'r': 7.462288826689832, 'y': 1192.4234901035825, 'x': 1159.252716948312, 'index': 35, 'vy': -0.16332586190177942, 'vx': -0.29205957153641976, 'weight': 2}",False,True,60
"{'name': 'long_beep', 'r': 19.928527864588922, 'y': 1302.4603690271206, 'x': 1206.3178827089594, 'index': 28, 'vy': -0.161853817123281, 'vx': -0.2911002856934047, 'weight': 8}","{'name': 'turn_on', 'r': 7.462288826689832, 'y': 1217.3304870777451, 'x': 1203.1561379858906, 'index': 33, 'vy': -0.16154856076978466, 'vx': -0.2926116846795381, 'weight': 2}",False,True,61
"{'name': 'long_beep', 'r': 19.928527864588922, 'y': 1302.4603690271206, 'x': 1206.3178827089594, 'index': 28, 'vy': -0.161853817123281, 'vx': -0.2911002856934047, 'weight': 8}","{'name': 'set_freq', 'r': 15.270619156458231, 'y': 1192.968064999888, 'x': 1044.5464201765492, 'index': 34, 'vy': -0.15977802862023066, 'vx': -0.29194788662189564, 'weight': 6}",False,True,62
"{'name': 'long_beep', 'r': 19.928527864588922, 'y': 1302.4603690271206, 'x': 1206.3178827089594, 'index': 28, 'vy': -0.161853817123281, 'vx': -0.2911002856934047, 'weight': 8}","{'name': 'turn_off', 'r': 7.462288826689832, 'y': 1192.4234901035825, 'x': 1159.252716948312, 'index': 35, 'vy': -0.16332586190177942, 'vx': -0.29205957153641976, 'weight': 2}",False,True,63
"{'name': 'set_freq', 'r': 15.270619156458231, 'y': 1192.968064999888, 'x': 1044.5464201765492, 'index': 34, 'vy': -0.15977802862023066, 'vx': -0.29194788662189564, 'weight': 6}","{'name': 'pause1', 'r': 7.462288826689832, 'y': 1153.3630270063072, 'x': 992.0333083859298, 'index': 36, 'vy': -0.15919231046083873, 'vx': -0.29294006072453355, 'weight': 2}",False,True,64
"{'name': 'set_freq', 'r': 15.270619156458231, 'y': 1192.968064999888, 'x': 1044.5464201765492, 'index': 34, 'vy': -0.15977802862023066, 'vx': -0.29194788662189564, 'weight': 6}","{'name': 'pause2', 'r': 7.462288826689832, 'y': 1233.2874773716162, 'x': 992.7447149006656, 'index': 37, 'vy': -0.15843034116398666, 'vx': -0.2916684087638503, 'weight': 2}",False,True,65
"{'name': 'set_freq', 'r': 15.270619156458231, 'y': 1192.968064999888, 'x': 1044.5464201765492, 'index': 34, 'vy': -0.15977802862023066, 'vx': -0.29194788662189564, 'weight': 6}","{'name': 'pause2', 'r': 7.462288826689832, 'y': 1233.2874773716162, 'x': 992.7447149006656, 'index': 37, 'vy': -0.15843034116398666, 'vx': -0.2916684087638503, 'weight': 2}",False,True,66
